LogEntrySeconds,Температура охлаждающей жидкости ( °С),Обороты  двигателя ( об/мин),Желаемые обороты холостого хода ( об/мин),Угол опережения зажигания ( °ПКВ),Длительность импульса впрыска ( мс),Напряжение датчика кислорода 1 ( В),Положение педали газа ( %),Положение дроссельной заслонки ( %),Скорость автомобиля ( км/час),Флаг нажатия педали сцепления (-),Величина отскока УОЗ при детонации ( °ПКВ),Счетчик пропусков в цилиндре 1 за текущую поездку (-),Счетчик пропусков в цилиндре 3 за текущую поездку (-),Счетчик пропусков в цилиндре 4 за текущую поездку (-),Счетчик пропусков в цилиндре 2 за текущую поездку (-)
88,40.5,977.0,970.0,1.5,3.814,0.22,0.0,4.86,0.0,0.0,0.0,,,,
88,40.5,976.0,970.0,2.25,3.731,0.83,0.0,4.86,0.0,0.0,0.0,,,,
89,40.5,970.0,970.0,0.75,3.776,0.63,0.0,4.86,0.0,0.0,0.0,,,,
89,41.25,979.0,970.0,3.0,3.846,0.22,0.0,4.91,0.0,0.0,0.0,,,,
90,41.25,969.0,970.0,8.25,3.75,0.86,0.0,4.86,0.0,0.0,0.0,,,,
90,41.25,964.0,970.0,4.5,3.878,0.2,0.0,4.91,0.0,0.0,0.0,,,,
91,41.25,969.0,970.0,6.0,3.859,0.45,0.0,4.86,0.0,0.0,0.0,,,,
91,41.25,977.0,970.0,6.75,3.77,0.85,0.0,4.86,0.0,0.0,0.0,,,,
92,41.25,962.0,960.0,9.75,3.744,0.44,0.0,4.86,0.0,0.0,0.0,,,,
92,41.25,968.0,960.0,1.5,3.878,0.23,0.0,4.86,0.0,0.0,0.0,,,,
92,41.25,963.0,960.0,9.0,3.77,0.3,0.0,4.86,0.0,0.0,0.0,,,,
93,42.0,964.0,960.0,8.25,3.885,0.28,0.0,4.86,0.0,0.0,0.0,,,,
94,42.0,957.0,960.0,8.25,3.763,0.85,0.0,4.86,0.0,0.0,0.0,,,,
94,42.0,959.0,960.0,8.25,3.821,0.21,0.0,4.86,0.0,0.0,0.0,,,,
94,42.0,973.0,960.0,0.75,3.846,0.25,0.0,4.86,0.0,0.0,0.0,,,,
95,42.0,970.0,960.0,6.0,3.77,0.84,0.0,4.86,0.0,0.0,0.0,,,,
95,42.0,968.0,960.0,3.75,3.712,0.57,0.0,4.86,0.0,0.0,0.0,,,,
96,42.0,958.0,960.0,3.75,3.859,0.21,0.0,4.86,0.0,0.0,0.0,,,,
96,42.0,969.0,960.0,2.25,3.808,0.77,0.0,4.86,0.0,0.0,0.0,,,,
