LogEntrySeconds,Напряжение батареи ( В),Температура охлаждающей жидкости ( °С),Обороты  двигателя ( об/мин),Желаемые обороты холостого хода ( об/мин),Угол опережения зажигания ( °ПКВ),Длительность импульса впрыска ( мс),Напряжение датчика кислорода 1 ( В),Напряжение датчика кислорода 2 ( В),Положение дроссельной заслонки ( %),Величина отскока УОЗ при детонации ( °ПКВ)
125,14.1,46.5,963.0,980.0,6.75,4.006,0.19,0.52,5.03,0.0
125,14.1,47.25,973.0,980.0,3.0,3.981,0.21,0.52,4.86,0.0
126,14.1,47.25,979.0,930.0,0.75,3.808,0.69,0.52,4.42,0.0
126,14.0,47.25,950.0,930.0,9.0,3.514,0.81,0.52,4.42,0.0
126,14.1,47.25,938.0,930.0,7.5,3.68,0.21,0.52,4.42,0.0
127,14.0,47.25,938.0,930.0,2.25,3.674,0.8,0.52,4.42,0.0
127,14.1,47.25,942.0,930.0,4.5,3.565,0.86,0.52,4.37,0.0
128,14.0,47.25,944.0,980.0,-0.75,4.166,0.33,0.52,4.98,0.0
128,13.8,47.25,982.0,980.0,3.0,3.866,0.8,0.52,4.91,0.0
129,13.8,47.25,971.0,980.0,6.0,3.923,0.85,0.52,5.03,0.0
129,13.8,47.25,979.0,1080.0,4.5,4.339,0.2,0.52,6.49,0.0
129,13.8,47.25,1182.0,1480.0,3.0,7.13,0.89,0.51,11.72,0.0
130,13.8,47.25,1464.0,1500.0,2.25,5.178,0.93,0.51,8.94,0.0
132,13.8,48.0,1313.0,1940.0,9.75,4.531,0.19,0.52,8.81,21.75
133,13.8,48.0,1259.0,900.0,-0.75,3.251,0.17,0.52,5.1,0.0
133,13.8,48.0,1171.0,900.0,5.25,3.149,0.16,0.52,5.22,0.0
133,13.8,48.0,1099.0,1200.0,6.0,6.842,0.18,0.51,10.03,0.0
134,13.8,48.0,1282.0,1480.0,0.0,5.939,0.94,0.51,9.06,0.0
134,13.8,48.0,1258.0,1200.0,5.25,4.416,0.83,0.51,6.45,0.0
134,13.8,48.0,1303.0,900.0,0.0,2.675,0.18,0.52,4.86,0.0
135,13.8,48.0,1188.0,900.0,7.5,2.912,0.16,0.51,4.98,0.0
135,13.8,48.75,1063.0,900.0,5.25,3.571,0.17,0.51,5.03,0.0
136,13.8,48.75,1062.0,1300.0,0.75,7.36,0.81,0.51,10.99,0.0
138,13.8,48.75,1322.0,900.0,9.0,2.554,0.4,0.51,4.98,0.0
139,13.8,48.75,1167.0,900.0,15.75,2.758,0.16,0.51,4.86,0.0
139,13.8,48.75,1082.0,900.0,4.5,3.277,0.16,0.51,4.91,0.0
139,13.8,48.75,1008.0,900.0,2.25,3.776,0.19,0.51,4.98,0.0
140,13.8,48.75,967.0,900.0,-3.75,3.994,0.84,0.51,4.86,0.0
140,13.8,48.75,1020.0,10.0,-0.75,6.765,0.87,0.51,9.42,-86.25
141,13.8,49.5,1327.0,1400.0,-1.5,6.765,0.92,0.51,10.03,0.0
141,13.8,49.5,1360.0,1000.0,5.25,2.886,0.2,0.51,4.86,0.0
141,13.9,49.5,1226.0,900.0,19.5,2.317,0.15,0.5,4.54,0.0
142,13.8,49.5,1099.0,900.0,12.75,3.162,0.16,0.49,4.91,0.0
142,14.0,49.5,1030.0,900.0,2.25,3.75,0.18,0.47,5.15,0.0
143,14.0,49.5,995.0,1100.0,5.25,6.893,0.73,0.47,10.74,0.0
143,14.0,49.5,1469.0,2540.0,0.0,7.84,0.96,0.46,13.62,79.5
143,14.0,49.5,1815.0,1500.0,9.75,3.872,0.17,0.4,8.62,0.0
144,13.8,49.5,1582.0,1500.0,-11.25,4.685,0.47,0.35,8.62,0.0
144,13.0,49.5,1162.0,1500.0,-24.75,9.446,0.18,0.31,14.04,0.0
145,13.2,49.5,1067.0,1500.0,-10.5,10.547,0.91,0.3,21.29,0.0
145,14.0,49.5,1065.0,1500.0,-8.25,10.003,0.98,0.25,22.8,0.0
145,14.0,49.5,1245.0,1500.0,-8.25,9.811,0.45,0.16,21.22,0.0
146,14.1,50.25,1421.0,1500.0,-1.5,7.674,0.92,0.15,15.06,0.0
146,14.1,50.25,1677.0,1500.0,10.5,4.397,0.18,1.27,11.84,0.0
147,14.1,50.25,1735.0,1500.0,6.0,3.507,0.16,0.93,10.64,0.0
149,14.1,50.25,1621.0,900.0,2.25,2.72,0.17,0.43,9.35,0.0
150,14.1,50.25,1787.0,900.0,31.5,3.36,0.29,0.92,8.37,0.0
150,14.1,50.25,1890.0,900.0,30.75,3.315,0.19,0.27,7.1,0.0
150,14.1,50.25,1816.0,900.0,32.25,2.982,0.18,0.65,7.35,0.0
151,14.1,51.0,1885.0,900.0,32.25,3.008,0.84,0.59,7.35,0.0
153,14.1,51.0,2166.0,900.0,33.0,2.701,0.91,0.94,7.23,0.0
